Id,time
0,1.65
1,7.37
2,0.68
3,1.58
4,2.14
5,9.01
6,2.23
7,1.31
8,7.38
9,1.13
10,3.16
11,9.99
12,1.27
13,11.01
14,1.93
15,0.99
16,2.61
17,3.46
18,4.33
19,4.76
20,0.86
21,1.24
22,1.2
23,3.17
24,1.24
25,1.43
26,4.22
27,3.99
28,4.59
29,1.66
30,6.8
31,4.88
32,1.41
33,6.5
34,7.77
35,1.99
36,4.16
37,4.02
38,1.11
39,1.74
40,4.58
41,7.35
42,3.21
43,2.77
44,1.23
45,5.32
46,4.09
47,1.85
48,3.13
49,1.01
50,1.01
51,14.32
52,0.33
53,5.42
54,3.01
55,0.72
56,3.17
57,1.29
58,1.63
59,4.4
60,2.23
61,6.45
62,0.63
63,10.03
64,3.89
65,7.77
66,3.12
67,1.8
68,6.52
69,1.36
70,1.14
71,1.14
72,8.24
73,0.51
74,7.52
75,2.7
76,1.99
77,2.74
78,5.94
79,1.7
80,7.06
81,3.18
82,3.38
83,1.98
84,2.37
85,2.56
86,5.89
87,1.56
88,7.17
89,1.42
90,4.1
91,1.37
92,2.49
93,14.28
94,2.59
95,2.25
96,10.05
97,0.79
98,1.22
99,0.67
