Id,time
0,0.84
1,4.42
2,0.61
3,1.14
4,2.71
5,3.08
6,1.22
7,0.44
8,2.39
9,2.61
10,1.67
11,11.42
12,1.48
13,4.42
14,0.23
15,0.49
16,1.88
17,3.99
18,2.63
19,5.52
20,0.42
21,1.04
22,0.23
23,1.6
24,1.27
25,3.01
26,4.42
27,0.92
28,1.34
29,0.32
30,1.6
31,2.08
32,0.4
33,0.54
34,4.14
35,0.29
36,1.47
37,0.4
38,1.01
39,1.51
40,2.71
41,2.45
42,2.85
43,8.08
44,0.54
45,0.26
46,3.77
47,12.07
48,5.79
49,0.6
50,1.96
51,7.28
52,0.28
53,1.56
54,1.75
55,0.07
56,5.28
57,0.76
58,0.19
59,4.88
60,0.86
61,4.09
62,2.96
63,6.73
64,1.25
65,8.71
66,1.86
67,3.03
68,3.52
69,2.72
70,0.96
71,2.68
72,1.7
73,0.27
74,0.81
75,5.25
76,1.94
77,0.81
78,5.92
79,1.24
80,5.93
81,0.95
82,5.64
83,0.46
84,2.15
85,1
86,1.91
87,1.25
88,4.38
89,4.72
90,3.49
91,1.45
92,11.1
93,2.13
94,1.22
95,1.07
96,5.83
97,0.1
98,0.5
99,1.29
