Id,time
0,0.58
1,2.46
2,0.49
3,0.49
4,0.48
5,0.69
6,0.5
7,0.49
8,1.93
9,0.51
10,0.77
11,3.8
12,0.55
13,1.62
14,0.65
15,0.55
16,2.17
17,0.87
18,1.4
19,1.2
20,0.38
21,0.45
22,0.28
23,0.99
24,0.43
25,0.48
26,1.57
27,0.79
28,1.55
29,0.46
30,2.03
31,1.1
32,0.44
33,0.94
34,1.45
35,0.53
36,1.52
37,0.66
38,0.49
39,0.48
40,1.12
41,0.98
42,2.34
43,0.63
44,0.46
45,0.72
46,2.23
47,0.54
48,0.82
49,0.59
50,0.5
51,1.27
52,0.32
53,1.85
54,0.73
55,0.36
56,1.5
57,0.69
58,0.54
59,3.17
60,0.52
61,1.59
62,0.71
63,1.43
64,1.63
65,1.38
66,1.29
67,0.52
68,1.59
69,0.5
70,0.4
71,0.6
72,1.18
73,0.45
74,0.83
75,0.72
76,0.5
77,0.75
78,2.57
79,0.36
80,2.87
81,0.62
82,0.95
83,0.65
84,0.6
85,0.59
86,1.02
87,0.36
88,1.57
89,0.61
90,2.84
91,0.51
92,0.48
93,1.04
94,0.78
95,0.59
96,1.11
97,0.26
98,0.41
99,0.4
